protein1 protein2 combined_score
511145.b0034 511145.b1976 155
511145.b0035 511145.b0126 311
511145.b0035 511145.b0339 311
511145.b0036 511145.b2606 456
511145.b0036 511145.b2844 371
511145.b0036 511145.b3296 398
511145.b0036 511145.b3026 215
511145.b0036 511145.b3315 457
511145.b0036 511145.b0545 274
511145.b0036 511145.b3230 459
511145.b0036 511145.b2567 394
511145.b0036 511145.b2342 371
511145.b0036 511145.b3636 459
511145.b0036 511145.b3301 457
511145.b0036 511145.b3637 457
511145.b0036 511145.b0773 274
511145.b0036 511145.b0039 168
511145.b0036 511145.b2052 241
511145.b0036 511145.b3185 457
511145.b0036 511145.b3294 459
511145.b0036 511145.b3983 459
511145.b0036 511145.b3341 455
511145.b0036 511145.b4003 215
511145.b0036 511145.b1129 215
511145.b0036 511145.b3656 214
511145.b0036 511145.b3210 597
511145.b0036 511145.b2224 371
511145.b0036 511145.b3313 422
511145.b0036 511145.b2067 261
511145.b0036 511145.b1773 188
511145.b0036 511145.b2255 241
511145.b0036 511145.b3309 214
511145.b0036 511145.b3908 285
511145.b0036 511145.b2370 598
511145.b0036 511145.b1882 245
511145.b0036 511145.b3308 284
511145.b0036 511145.b2542 207
511145.b0036 511145.b2556 215
511145.b0036 511145.b1285 281
511145.b0036 511145.b3137 188
511145.b0036 511145.b0993 567
511145.b0036 511145.b2096 188
511145.b0036 511145.b3404 215
511145.b0036 511145.b3807 242
511145.b0036 511145.b3986 242
511145.b0036 511145.b1609 215
511145.b0036 511145.b1276 515
511145.b0036 511145.b3878 214
511145.b0036 511145.b3305 446
511145.b0036 511145.b3231 457
511145.b0036 511145.b1559 256
511145.b0036 511145.b3320 457
511145.b0036 511145.b4399 234
511145.b0036 511145.b1489 261
511145.b0036 511145.b1397 371
511145.b0036 511145.b4187 168
511145.b0036 511145.b3310 446
511145.b0036 511145.b3321 416
511145.b0036 511145.b0221 168
511145.b0036 511145.b1716 330
511145.b0036 511145.b0868 241
511145.b0036 511145.b3306 454
511145.b0036 511145.b1386 250
511145.b0036 511145.b2185 156
511145.b0036 511145.b3298 452
511145.b0036 511145.b2218 567
511145.b0036 511145.b1089 386
511145.b0036 511145.b4200 456
511145.b0036 511145.b2609 459
511145.b0036 511145.b3911 215
511145.b0036 511145.b0771 270
511145.b0036 511145.b2925 188
511145.b0036 511145.b3186 367
511145.b0036 511145.b3297 405
511145.b0036 511145.b3072 279
511145.b0036 511145.b1235 245
511145.b0036 511145.b3529 261
511145.b0036 511145.b3619 241
511145.b0036 511145.b1778 242
511145.b0036 511145.b3307 452
511145.b0036 511145.b3303 459
511145.b0036 511145.b0169 470
511145.b0036 511145.b3319 457
511145.b0036 511145.b4112 215
511145.b0036 511145.b3299 347
511145.b0036 511145.b3311 455
511145.b0036 511145.b2786 567
511145.b0036 511145.b3342 446
511145.b0036 511145.b3317 455
511145.b0036 511145.b2016 241
511145.b0036 511145.b1000 256
511145.b0036 511145.b1656 285
511145.b0036 511145.b4506 347
511145.b0036 511145.b1241 161
511145.b0036 511145.b3165 457
511145.b0036 511145.b2216 215
511145.b0036 511145.b1387 228
511145.b0036 511145.b0015 256
511145.b0036 511145.b1695 168
511145.b0036 511145.b3845 371
511145.b0037 511145.b3319 258
511145.b0037 511145.b3308 250
511145.b0037 511145.b0169 276
511145.b0037 511145.b0506 457
511145.b0037 511145.b3307 250
511145.b0037 511145.b3303 270
511145.b0037 511145.b4029 252
511145.b0037 511145.b0423 250
511145.b0037 511145.b2562 186
511145.b0037 511145.b2284 250
511145.b0037 511145.b1000 279
511145.b0037 511145.b2720 186
511145.b0037 511145.b0799 199
511145.b0037 511145.b0984 252
511145.b0037 511145.b3649 252
511145.b0037 511145.b3342 270
511145.b0037 511145.b3317 457
511145.b0037 511145.b1406 162
511145.b0037 511145.b2195 236
511145.b0037 511145.b0476 218
511145.b0037 511145.b3311 459
511145.b0037 511145.b3527 204
511145.b0037 511145.b0928 228
511145.b0037 511145.b3318 272
511145.b0037 511145.b1378 186
511145.b0037 511145.b0659 446
511145.b0037 511145.b1008 241
511145.b0037 511145.b4309 218
511145.b0037 511145.b1656 281
511145.b0037 511145.b4211 206
511145.b0037 511145.b3295 228
511145.b0037 511145.b2400 206
511145.b0037 511145.b0525 284
511145.b0037 511145.b3312 250
511145.b0037 511145.b3987 217
511145.b0037 511145.b3320 461
511145.b0037 511145.b2283 250
511145.b0037 511145.b1559 279
511145.b0037 511145.b3231 461
511145.b0037 511145.b3305 561
511145.b0037 511145.b2184 252
511145.b0037 511145.b1387 232
511145.b0037 511145.b0015 279
511145.b0037 511145.b3165 269
511145.b0037 511145.b1808 199
511145.b0037 511145.b3001 162
511145.b0037 511145.b3304 272
511145.b0037 511145.b1278 252
511145.b0037 511145.b2488 186
511145.b0037 511145.b3315 269
511145.b0037 511145.b3363 284
511145.b0037 511145.b3321 270
511145.b0037 511145.b3425 250
511145.b0037 511145.b0578 241
511145.b0037 511145.b3310 457
511145.b0037 511145.b2285 250
511145.b0037 511145.b3296 270
511145.b0037 511145.b1765 241
511145.b0037 511145.b0586 479
511145.b0037 511145.b0419 162
511145.b0037 511145.b0851 241
511145.b0037 511145.b0183 250
511145.b0037 511145.b2668 250
511145.b0037 511145.b3301 461
511145.b0037 511145.b3611 250
511145.b0037 511145.b0680 206
511145.b0037 511145.b3152 206
511145.b0037 511145.b1771 162
511145.b0037 511145.b3298 222
511145.b0037 511145.b2281 186
511145.b0037 511145.b0144 206
511145.b0037 511145.b3341 269
511145.b0037 511145.b1411 278
511145.b0037 511145.b3983 454
511145.b0037 511145.b0869 206
511145.b0037 511145.b3294 457
511145.b0037 511145.b3316 250
511145.b0037 511145.b0841 252
511145.b0037 511145.b1308 250
511145.b0037 511145.b1494 204
511145.b0037 511145.b3309 461
511145.b0037 511145.b3908 281
511145.b0037 511145.b3314 250
511145.b0037 511145.b4054 228
511145.b0037 511145.b2834 162
511145.b0037 511145.b3313 250
511145.b0037 511145.b1094 502
511145.b0037 511145.b3186 457
511145.b0038 511145.b4011 188
511145.b0039 511145.b1687 161
511145.b0039 511145.b0036 168
